id,text,created_at,retweeted,in_reply_to_screen_name,in_reply_to_status_id,retweeted_screen_name,quoted_status_screen_name,source,retweet_count,screen_name,followers_count,friends_count
582965413459398656,RT @Idee_fixe_: Goddess #transdayofvisibility http://t.co/jzNaOFrkP0,Tue Mar 31 17:59:20 +0000 2015,False,,,Idee_fixe_,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,TurboQueerJC,905,1258
582965408640159744,"I embrace my fabulous, authentic trans self. I embrace my fabulous, authentic trans siblings. #transdayofvisibility http://t.co/GsXZX9rvQL",Tue Mar 31 17:59:19 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2,quentook,475,564
582965406874357760,"Happy #transdayofvisibility y'all. Remember, people can see you today. This is a bad day to steal someone's candy.",Tue Mar 31 17:59:18 +0000 2015,False,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,elicgordon,1142,2213
582965406840799233,RT @achiIIcs: It's ur local blonde agender hottie #transdayofvisibility http://t.co/oTwNANkCm9,Tue Mar 31 17:59:18 +0000 2015,False,,,BLOODMlLK,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,larrystylinson,88949,92
582965402180952064,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ! http://t.co/9vhh0IFbJX",Tue Mar 31 17:59:17 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
582965400322863105,RT @snoozyloser: #transdayofvisibility my boyf may be cis but he loves and accepts me as his demigirlfriend no matter what 💘🌼 http://t.co/3…,Tue Mar 31 17:59:17 +0000 2015,False,,,horseys420,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,gvngstabxtch,434,202
582965399567917056,RT @kelseykarpowich: #transdayofvisibility 💖💖💖,Tue Mar 31 17:59:16 +0000 2015,False,,,yeslekarpowich,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,coolleafman,186,327
582965397890199553,RT @LocksTheFox: “@STRAlGHTPERSON: happy #transdayofvisibility !!!! trans ppl quote this w a selfie so we can all cry over ur beauty!” http…,Tue Mar 31 17:59:16 +0000 2015,False,,,VulpineVanguard,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,STRAlGHTPERSON,12966,127
582965391825219584,RT @EW: A revolution is taking place to bring more transgender stories to TV: http://t.co/NPkudlQ4Xx #transdayofvisibility http://t.co/kNj6…,Tue Mar 31 17:59:15 +0000 2015,False,,,EW,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,callmedollar,26172,190
582965388985688064,"For #TransDayofVisibility, read our interview with trans YA author @EverettMaroon! http://t.co/VoNDeMbySS",Tue Mar 31 17:59:14 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9,YA_Pride,10737,415
